x1,T/K,D/m2s-1,Visc/Pas
0.05,278.0,3.25e-9,3.76e-4
0.25,278.0,2.73e-9,4.18e-4
0.50,278.0,2.23e-9,4.87e-4
0.75,278.0,2.16e-9,5.82e-4
0.95,278.0,2.20e-9,6.87e-4
0.05,288.0,3.72e-9,3.38e-4
0.25,288.0,3.05e-9,3.74e-4
0.50,288.0,2.52e-9,4.33e-4
0.75,288.0,2.27e-9,5.14e-4
0.95,288.0,2.32e-9,6.01e-4
0.05,298.0,4.20e-9,3.05e-4
0.25,298.0,3.44e-9,3.37e-4
0.50,298.0,2.78e-9,3.89e-4
0.75,298.0,2.47e-9,4.58e-4
0.95,298.0,2.52e-9,5.31e-4
0.05,308.0,4.87e-9,2.77e-4
0.25,308.0,3.99e-9,3.06e-4
0.50,308.0,3.16e-9,3.51e-4
0.75,308.0,2.65e-9,4.11e-4
0.95,308.0,2.75e-9,4.74e-4
0.05,318.0,5.55e-9,2.53e-4
0.25,318.0,4.57e-9,2.78e-4
0.50,318.0,3.58e-9,3.19e-4
0.75,318.0,2.85e-9,3.72e-4
0.95,318.0,2.98e-9,4.26e-4
